Country,Year,"Population ages 00-04, female (% of female population)","Population ages 00-04, male (% of male population)","Population ages 05-09, female (% of female population)","Population ages 05-09, male (% of male population)","Population ages 10-14, female (% of female population)","Population ages 10-14, male (% of male population)","Population ages 15-19, female (% of female population)","Population ages 15-19, male (% of male population)","Population ages 20-24, female (% of female population)","Population ages 20-24, male (% of male population)","Population ages 25-29, female (% of female population)","Population ages 25-29, male (% of male population)","Population ages 30-34, female (% of female population)","Population ages 30-34, male (% of male population)","Population ages 35-39, female (% of female population)","Population ages 35-39, male (% of male population)","Population ages 40-44, female (% of female population)","Population ages 40-44, male (% of male population)","Population ages 45-49, female (% of female population)","Population ages 45-49, male (% of male population)","Population ages 50-54, female (% of female population)","Population ages 50-54, male (% of male population)","Population ages 55-59, female (% of female population)","Population ages 55-59, male (% of male population)","Population ages 60-64, female (% of female population)","Population ages 60-64, male (% of male population)","Population ages 65-69, female (% of female population)","Population ages 65-69, male (% of male population)","Population ages 70-74, female (% of female population)","Population ages 70-74, male (% of male population)","Population ages 75-79, female (% of female population)","Population ages 75-79, male (% of male population)","Population ages 80 and above, female (% of female population)","Population ages 80 and above, male (% of male population)"
Djibouti,2005-01-01,13.9544552154134,14.4473516211406,12.2641678977201,12.6524655652712,11.3370738188776,11.6848351775903,10.1891688861572,10.4609997678558,9.25632390064829,9.37342819004875,8.65463529067838,8.62258666718254,7.59982315962001,7.49608256596765,6.20654620913412,6.08012361680724,4.92529212808707,4.79740578812969,3.89815623536065,3.75759305114911,3.13316583817667,2.96830263870618,2.77457284541683,2.59953184245144,2.11465630544982,1.93949257138435,1.55873532769984,1.38609456008667,1.06439697550234,0.913584307049447,0.629724279968514,0.509629149578271,0.439105686089156,0.310492919600712
Djibouti,2004-01-01,14.0786877908405,14.57523079945,12.2552561099313,12.646827735219,11.3561894753742,11.7019004124926,10.211436341655,10.4673688862699,9.43192902822476,9.52735219013946,8.75641278250906,8.71341583186014,7.55388683339293,7.45052543704577,6.1056743851148,5.985439992143,4.83467244638075,4.713587703791,3.82626315699854,3.69070418385386,3.14807111772762,2.9871341583186,2.73891795773706,2.57046749165193,2.07702393375708,1.9071646042035,1.53468923090396,1.36589078766451,1.04587039915542,0.89729424474563,0.61518926374324,0.496096051856217,0.429829746553699,0.303599489294834
Djibouti,2003-01-01,14.0868831196077,14.5846495081089,12.2968208345726,12.6928468626755,11.3548321808895,11.6963545852725,10.2816586799818,10.5168127698548,9.63733498538208,9.71184339233534,8.84689383159716,8.7957234444216,7.49925645465237,7.39849099393781,6.01068483920292,5.89883055145387,4.75177926390862,4.63704728260531,3.75956273363059,3.62958947807829,3.18558274826701,3.03059755892413,2.68466149249605,2.52344192943434,2.04404009838246,1.87859416957938,1.51127905843094,1.34639227927204,1.02640110476646,0.879485118658218,0.601500418977005,0.48285701824888,0.420828155254737,0.296443057139119
Djibouti,2002-01-01,14.0607958765018,14.5607684704971,12.4480370388583,12.8534383501625,11.4079582606766,11.7479086638884,10.3762011214039,10.5966548811428,9.77679094908292,9.83985103369573,8.85220643212254,8.79774920269403,7.39604570849299,7.29675065975159,5.90193326802108,5.79409636958316,4.66856551336317,4.55661636591504,3.70312931448608,3.57310251367902,3.23093934912175,3.08058139653363,2.63896821764364,2.4820924569251,2.02228434031468,1.85774838755693,1.49474286766199,1.3312207696932,1.01284432357054,0.866210529533436,0.593105900420243,0.473798436974619,0.415451518257802,0.291411511773637
Djibouti,2001-01-01,14.1029772547715,14.6107303132466,12.6908863154393,13.1087859020006,11.5272464551541,11.869905031829,10.4683406794461,10.6861847643789,9.81056904653,9.87282854377322,8.75088361262423,8.69646302335263,7.23574784814337,7.13541796633364,5.77349889808308,5.66381188658455,4.58257100087322,4.46722081183274,3.66322404257973,3.52778321357791,3.27482431701942,3.12524214847921,2.60860638695996,2.45110078236121,2.01151815044285,1.84420281765612,1.48719801239137,1.32214711332746,1.00731839161712,0.858535380929929,0.591110857000291,0.470441140353527,0.413478730924363,0.289199159982821
Djibouti,2000-01-01,14.2099585229062,14.7291528317996,12.9200812120156,13.3482862834917,11.6359664698906,11.9797525309336,10.5647987456362,10.7818450404543,9.81030427703214,9.87355496225622,8.61959675419964,8.56411020911543,7.06933174304304,6.96762302302573,5.64825548281615,5.53674766557795,4.50123627202005,4.38071747055714,3.65480872962161,3.51430468781764,3.2949832148433,3.14608264328405,2.58256889955039,2.42400422838711,2.00255965263772,1.83203003239053,1.48138221242437,1.3145947118056,1.00201689906794,0.850691856289048,0.590596291854006,0.468917288953339,0.411554620441038,0.287584533860978
Djibouti,1999-01-01,14.3863426552938,14.9194709891407,13.1209956937297,13.5573715017633,11.7341721070874,12.077813481443,10.6603684929159,10.8767999821016,9.77935201410732,9.84442337648536,8.46715570567001,8.41059028506068,6.90399062460268,6.80126855215579,5.52891392434452,5.41469853708194,4.42291002161427,4.2974441582558,3.69004250990884,3.54570954742109,3.27890148646482,3.12999023975524,2.56054483441036,2.40090834598809,1.99351571871597,1.82046742902848,1.4759617244982,1.30630668422951,0.996688760026313,0.843324300212824,0.590108292472595,0.467876489555979,0.410035434137281,0.285536100320774
Djibouti,1998-01-01,14.6663920686953,15.2188707220591,13.3351639864761,13.7801968041052,11.8640625625712,12.2093258967097,10.7302017723011,10.9528029236819,9.67514487903387,9.74522034762161,8.25924908896402,8.20229469648266,6.71720985577886,6.61245576541043,5.40385924565649,5.28281178507926,4.34465477886282,4.21133563845499,3.7549842392206,3.60682038005548,3.24311645814383,3.09164306523263,2.54775430346508,2.3836000440174,1.98697375873136,1.81036030557341,1.47367577988684,1.30025078333594,0.995846705682462,0.839516040287503,0.591386776963518,0.468553623037316,0.410323739566707,0.283941178855432
Djibouti,1997-01-01,15.0612089435878,15.6395075424148,13.5976397212419,14.0541534528705,12.0370645892722,12.38740639809,10.7517362867566,10.9892561285888,9.47726907534919,9.55689066814581,7.98334831072838,7.9255646260144,6.50103254756563,6.39040286503238,5.26748040540139,5.13604683411511,4.26959906207783,4.12315660006511,3.82652605769174,3.67353583099203,3.21116341627438,3.05389420120341,2.54447096071558,2.37245420892067,1.98653819830865,1.80360781854795,1.47562057001387,1.29731342923635,1.00160089507293,0.841060640773655,0.595425844040683,0.471476287516128,0.412275115901233,0.284272467472959
Djibouti,1996-01-01,15.433244841076,16.0347786973451,13.8001697941977,14.2655444440453,12.1638591047131,12.5177071798612,10.7475721124586,10.9933669333741,9.306940761547,9.3879680200913,7.75891689174926,7.69776206235739,6.33091995482426,6.21496633488318,5.15946325311507,5.02017095725756,4.22297583591286,4.06745830320314,3.88816386526784,3.73494596869792,3.18079076023734,3.02041147815711,2.53813050733335,2.36100937562961,1.98344891767755,1.79672235610525,1.47391224629095,1.29178464945641,1.00351144261896,0.840886054004751,0.59628270887999,0.471202307751176,0.411697002100086,0.283314877779461
